Python;Cython;
0,00101;0,00047;
0,00217;0,00031;
0,00132;0,00035;
0,00147;0,00044;
0,00085;0,00027;
0,0009;0,00032;
0,00129;0,00045;
0,00135;0,00039;
0,00132;0,00041;
0,00143;0,00064;
0,00153;0,00033;
0,00091;0,00028;
0,00119;0,00048;
0,0011;0,00026;
0,00099;0,00024;
0,00082;0,00024;
0,00096;0,00035;
0,00097;0,00027;
0,00089;0,00027;
0,00115;0,00033;
0,00095;0,0003;
0,00126;0,00043;
0,00109;0,0004;
0,00092;0,00026;
0,00121;0,00029;
0,00297;0,00025;
0,00103;0,00035;
0,00089;0,00024;
0,00083;0,00034;
0,00103;0,00025;
0,00119;0,000340333;Promedio
